"TOA5","CR1000","CR1000","6428","CR1000.Std.10","CPU:MED_RAD.CR1","15771","Dados"
"TIMESTAMP","RECORD","Radiacao_Avg","Temp_Cel_Avg","Temp_Amb_Avg","Tensao_S1_Avg","Corrente_S1_Avg","Potencia_S1_Avg","Tensao_S2_Avg","Corrente_S2_Avg","Potencia_S2_Avg","Potencia_FV_Avg","Demanda_Avg","FP_FV_Avg","Tensao_Rede_Avg"
"TS","RN","W/m^2","C","C","V","A","W","V","A","W","W","W","%","V"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-01-22 00:00:00",20383,0,26.37,0.133,2.335,0.001,0.018,0.706,0.006,0.039,-4.916,228.6,0,221.3
"2019-01-22 00:01:00",20384,0.116,26.51,0.13,20.19,0.007,0.149,5.64,0.053,0.297,-41.81,234.7,0,221
"2019-01-22 00:02:00",20385,0.112,26.53,0.135,20.12,0.007,0.145,4.346,0.053,0.231,-42,227,0,221
"2019-01-22 00:03:00",20386,0.15,26.54,0.13,20.26,0.007,0.144,5.891,0.054,0.317,-41.61,219.3,0,221.4
"2019-01-22 00:04:00",20387,-0.012,26.52,0.132,20.35,0.008,0.153,5.747,0.053,0.306,-42.24,212.1,0,220.6
"2019-01-22 00:05:00",20388,0.037,26.62,0.129,20.77,0.008,0.171,6.858,0.052,0.36,-42.12,209.1,0,220.5
"2019-01-22 00:06:00",20389,0.237,26.66,0.129,21.22,0.008,0.176,7.171,0.054,0.389,-41.97,202.6,0,219.4
"2019-01-22 00:07:00",20390,0.27,26.69,0.134,21.22,0.008,0.16,5.801,0.054,0.315,-43.01,586.5,0,217.1
"2019-01-22 00:08:00",20391,-0.058,26.75,0.134,21.15,0.008,0.163,6.013,0.053,0.315,-45.27,1648,0,212.9
"2019-01-22 00:09:00",20392,0.087,26.77,0.134,21.04,0.008,0.161,6.122,0.053,0.323,-46.14,1768,0,212.6
"2019-01-22 00:10:00",20393,0.091,26.78,0.129,21.25,0.007,0.152,7.341,0.054,0.397,-47.54,1833,0,212.4
"2019-01-22 00:11:00",20394,-0.012,26.79,0.13,21.44,0.007,0.16,7.534,0.055,0.413,-46.65,1857,0,212.2
"2019-01-22 00:12:00",20395,0.021,26.79,0.13,21.59,0.008,0.168,7.593,0.054,0.412,-47.31,1859,0,212.6
"2019-01-22 00:13:00",20396,0.175,26.82,0.136,21.45,0.007,0.155,5.295,0.055,0.292,-47.64,1855,0,212.6
"2019-01-22 00:14:00",20397,0.233,26.77,0.139,21.15,0.008,0.177,4.684,0.055,0.259,-46.82,1848,0,211.9
"2019-01-22 00:15:00",20398,-0.058,26.76,0.133,21.14,0.007,0.158,6.442,0.053,0.342,-47.56,1838,0,212.8
"2019-01-22 00:16:00",20399,0.187,26.77,0.134,21.01,0.007,0.151,5.879,0.054,0.319,-47.6,1835,0,213.5
"2019-01-22 00:17:00",20400,0.12,26.76,0.129,21.09,0.008,0.159,7.093,0.056,0.395,-47.32,1833,0,213.9
"2019-01-22 00:18:00",20401,-0.075,26.72,0.13,21.08,0.009,0.185,6.925,0.054,0.376,-45.84,1831,0,213.6
"2019-01-22 00:19:00",20402,0.046,26.79,0.13,21.08,0.008,0.179,6.73,0.054,0.366,-47.4,1822,0,214.3
"2019-01-22 00:20:00",20403,0.116,26.71,0.131,21.03,0.008,0.176,6.64,0.055,0.364,-46.95,1815,0,213.5
"2019-01-22 00:21:00",20404,0.062,26.64,0.132,20.9,0.008,0.169,6.042,0.054,0.323,-46.54,1807,0,213.8
"2019-01-22 00:22:00",20405,0.054,26.61,0.13,20.94,0.008,0.163,6.672,0.055,0.368,-47.24,1806,0,213.7
"2019-01-22 00:23:00",20406,0.104,26.53,0.13,20.92,0.007,0.155,6.585,0.054,0.359,-47.32,1801,0,213.4
"2019-01-22 00:24:00",20407,0.162,26.47,0.13,20.89,0.008,0.168,6.583,0.056,0.369,-46.83,1797,0,213.4
"2019-01-22 00:25:00",20408,0.141,26.45,0.13,20.88,0.007,0.156,6.596,0.055,0.361,-47.28,1794,0,213.7
"2019-01-22 00:26:00",20409,0.129,26.46,0.13,20.89,0.007,0.149,6.569,0.056,0.369,-47.73,1790,0,213.4
"2019-01-22 00:27:00",20410,0.021,26.45,0.13,20.86,0.007,0.145,6.562,0.056,0.37,-47.61,1784,0,213.2
"2019-01-22 00:28:00",20411,0.278,26.44,0.129,20.85,0.007,0.15,6.546,0.056,0.368,-47.36,1790,0,213.3
"2019-01-22 00:29:00",20412,0.046,26.34,0.129,20.84,0.007,0.145,6.617,0.056,0.369,-47.32,1786,0,214.2
"2019-01-22 00:30:00",20413,0.116,26.38,0.131,16.6,0.006,0.127,4.664,0.045,0.263,-37.91,1786,0,214.3
"2019-01-22 00:31:00",20414,0.104,26.4,0.134,16.4,0.006,0.114,4.065,0.045,0.226,-37.78,1786,0,214.4
"2019-01-22 00:32:00",20415,0.249,26.47,0.129,20.66,0.008,0.161,6.673,0.057,0.377,-46.71,1786,0,214.1
"2019-01-22 00:33:00",20416,0.108,26.47,0.128,20.74,0.007,0.15,6.77,0.055,0.373,-47.28,1786,0,214.6
"2019-01-22 00:34:00",20417,0.004,26.39,0.128,20.83,0.007,0.141,6.869,0.056,0.388,-46.91,1781,0,215.3
"2019-01-22 00:35:00",20418,0.245,26.38,0.128,20.94,0.007,0.152,6.997,0.055,0.385,-46.79,1781,0,215.3
